Timestamp,Offset,Type
0.0046160221099853516,0,request
0.013253927230834961,0,reply
0.013388872146606445,1448,request
0.013406991958618164,2896,request
0.014208078384399414,1448,reply
0.01460409164428711,2896,reply
0.014715909957885742,4344,request
0.01473379135131836,5792,request
0.015496969223022461,7240,request
0.03528094291687012,4344,request
0.03599691390991211,4344,reply
0.036093950271606445,5792,request
0.036110877990722656,7240,request
0.0371248722076416,5792,reply
0.03717517852783203,7240,reply
0.03725695610046387,8688,request
0.03727602958679199,10136,request
0.03890395164489746,11584,request
0.038951873779296875,8688,reply
0.04007411003112793,10136,reply
0.05541586875915527,11584,request
0.05656290054321289,11584,reply
0.056706905364990234,13032,request
0.05672717094421387,14480,request
0.057988882064819336,13032,reply
0.058055877685546875,14480,reply
0.05816793441772461,15928,request
0.058194875717163086,17376,request
0.059237003326416016,18824,request
0.05931806564331055,15928,reply
0.06969809532165527,17376,request
0.07463693618774414,17376,reply
0.07473278045654297,18824,request
0.07475090026855469,20272,request
0.07700586318969727,18824,reply
0.07706594467163086,20272,reply
0.07716894149780273,21720,request
0.07724595069885254,23168,request
0.0803530216217041,24616,request
0.08255195617675781,21720,reply
0.08261680603027344,23168,reply
0.10275006294250488,24616,request
0.24150514602661133,24616,reply
0.2432420253753662,26064,request
0.2440347671508789,27512,request
0.24954700469970703,26064,reply
0.25223684310913086,27512,reply
0.25348591804504395,28960,request
0.2535591125488281,30408,request
0.25565195083618164,31856,request
0.2557048797607422,28960,reply
0.25576090812683105,30408,reply
0.25647592544555664,31856,reply
0.25699687004089355,33304,request
0.2571117877960205,34752,request
0.25713491439819336,36200,request
0.257526159286499,37648,request
0.25757694244384766,33304,reply
0.25837182998657227,34752,reply
0.25911617279052734,36200,reply
0.2593379020690918,37648,reply
0.2602880001068115,39096,request
0.2611210346221924,40544,request
0.2611851692199707,41992,request
0.26122593879699707,43440,request
0.2612419128417969,44888,request
0.2616877555847168,39096,reply
0.26174402236938477,40544,reply
0.26177382469177246,41992,reply
0.2864089012145996,43440,request
0.28665614128112793,44888,request
0.288362979888916,43440,reply
0.28899693489074707,44888,reply
0.29026317596435547,46336,request
0.2915499210357666,47784,request
0.293165922164917,49232,request
0.2932319641113281,46336,reply
0.2939310073852539,47784,reply
0.29444003105163574,49232,reply
0.29613709449768066,50680,request
0.2963731288909912,52128,request
0.2964911460876465,53576,request
0.2969019412994385,55024,request
0.2969539165496826,50680,reply
0.30449485778808594,52128,request
0.30461812019348145,52128,reply
0.3061809539794922,53576,request
0.30627894401550293,55024,request
0.30634593963623047,53576,reply
0.31234192848205566,55024,request
0.31314897537231445,55024,reply
0.31511688232421875,56472,request
0.31521105766296387,57920,request
0.3213009834289551,56472,request
0.32149791717529297,56472,reply
0.32186079025268555,57920,request
0.32213401794433594,59368,request
0.32833003997802734,57920,request
0.3293418884277344,57920,reply
0.32987189292907715,59368,request
0.3302180767059326,60816,request
0.33163905143737793,60816,reply
0.3373539447784424,59368,request
0.34105491638183594,59368,reply
0.3422279357910156,62264,request
0.3423619270324707,63712,request
0.3425281047821045,62264,reply
0.347775936126709,63712,request
0.34787988662719727,63712,reply
0.3489978313446045,65160,request
0.35288095474243164,66608,request
0.35304713249206543,66608,reply
0.35833096504211426,65160,request
0.3591949939727783,65160,reply
0.36302685737609863,68056,request
0.36305999755859375,69504,request
0.3637869358062744,68056,reply
0.36829400062561035,69504,request
0.36884593963623047,69504,reply
0.3701179027557373,70952,request
0.3702411651611328,72400,request
0.373751163482666,70952,request
0.3745701313018799,70952,reply
0.37799596786499023,72400,request
0.37807178497314453,73848,request
0.3783910274505615,72400,reply
0.38651299476623535,73848,request
0.3865931034088135,73848,reply
0.3872058391571045,75296,request
0.3873910903930664,76744,request
0.39032793045043945,75296,request
0.3916609287261963,75296,reply
0.3917698860168457,76744,request
0.3917887210845947,78192,request
0.3983938694000244,76744,request
0.3991219997406006,76744,reply
0.3997960090637207,78192,request
0.401378870010376,79640,request
0.4016458988189697,78192,reply
0.4044208526611328,79640,request
0.40596699714660645,79640,reply
0.4070568084716797,81088,request
0.4071018695831299,82536,request
0.4129009246826172,81088,request
0.41303515434265137,81088,reply
0.4136068820953369,82536,request
0.413881778717041,83984,request
0.41631484031677246,82536,request
0.4181849956512451,82536,request
0.4187438488006592,82536,reply
0.41885805130004883,83984,request
0.4195079803466797,85432,request
0.41957902908325195,83984,reply
0.4196329116821289,85432,reply
0.4197249412536621,86880,request
0.42014074325561523,88328,request
0.4202158451080322,89776,request
0.4247629642486572,86880,request
0.427034854888916,86880,reply
0.42764997482299805,88328,request
0.4292759895324707,89776,request
